feature
Dividends
Stock Splits
Capital Gains
Daily_Return
Volatility_5d
Volatility_10d
Volatility_20d
MA_5d
Price_MA_5d_Ratio
MA_10d
Price_MA_10d_Ratio
MA_20d
Price_MA_20d_Ratio
MA_50d
Price_MA_50d_Ratio
Volume_Ratio
Volume_Percentile
Daily_Range
Close_Position
Gap
Body
Upper_Shadow
Lower_Shadow
RSI
MACD
MACD_Signal
MACD_Histogram
BB_Position
Momentum_5d
Momentum_10d
Momentum_20d
Acceleration_5d
DayOfWeek
Month
Quarter
DaysFromStart
MarketCap
Beta
PE_Ratio
DividendYield
Volume_Avg
Price52WeekHigh
Price52WeekLow
